Issue_ID,Rule_ID,Data_Element,Description,Severity,Owner,Steward,Root_Cause,Status,Remediation,Failed_Records,Stage,Workflow_Type
ISS-001,DQ-001,Patient_ID,Patient ID Completeness: 80 of 1020 records failed on patients.Patient_ID.,High,Chief Data Officer (Synthetic),Patient Master Data Steward (Synthetic),Missing identifiers were injected in the synthetic generator to simulate incomplete source extracts.,Open,Assign a new synthetic Patient_ID; retain the row; log the assignment.,80,before,Portfolio simulation — not a production ticketing system
ISS-002,DQ-002,Patient_ID,Patient ID Uniqueness: 120 of 940 records failed on patients.Patient_ID.,High,Chief Data Officer (Synthetic),Patient Master Data Steward (Synthetic),"Duplicate Patient_ID values were injected, including exact duplicate rows and conflicting identities sharing an ID.",Open,Remove exact duplicate rows; split conflicting identities onto new IDs.,120,before,Portfolio simulation — not a production ticketing system
ISS-003,DQ-003,Date_of_Birth,Date of Birth Validity: 70 of 970 records failed on patients.Date_of_Birth.,High,Chief Data Officer (Synthetic),Patient Master Data Steward (Synthetic),"Future, malformed, missing, and out-of-range dates were injected to simulate mixed source formats.",Open,Parse mixed formats to ISO-8601; clear dates that cannot be validated.,70,before,Portfolio simulation — not a production ticketing system
ISS-004,DQ-004,Gender,Gender Conformity: 95 of 1020 records failed on patients.Gender.,Medium,Chief Data Officer (Synthetic),Patient Master Data Steward (Synthetic),Synonyms and invalid codes (M/F/X/Other) were injected instead of the approved value set.,Open,Map synonyms onto Female/Male/Unknown; default unmatched values to Unknown.,95,before,Portfolio simulation — not a production ticketing system
ISS-005,DQ-005,Facility_ID,Facility Referential Integrity: 75 of 1020 records failed on patients.Facility_ID.,High,Chief Data Officer (Synthetic),Facility Reference Data Steward (Synthetic),Missing and non-existent Facility_ID values were injected to simulate broken reference data.,Open,Standardise Facility_ID; assign unmatched values to FAC-UNK.,75,before,Portfolio simulation — not a production ticketing system
ISS-006,DQ-006,Patient_ID,Encounter Patient Referential Integrity: 150 of 2500 records failed on encounters.Patient_ID.,High,Chief Data Officer (Synthetic),Clinical Data Steward (Synthetic),Orphan encounter Patient_ID values and blank keys were injected to simulate incomplete interface loads.,Open,Link orphan encounters to PAT-UNK; do not delete the encounter.,150,before,Portfolio simulation — not a production ticketing system
ISS-007,DQ-007,Provider_ID,Encounter Provider Referential Integrity: 80 of 2500 records failed on encounters.Provider_ID.,High,Chief Data Officer (Synthetic),Provider Master Data Steward (Synthetic),Orphan encounter Provider_ID values were injected to simulate unmatched provider master keys.,Open,Assign unmatched providers to PRV-UNK.,80,before,Portfolio simulation — not a production ticketing system
ISS-008,DQ-008,Facility_ID,Encounter Facility Referential Integrity: 70 of 2500 records failed on encounters.Facility_ID.,High,Chief Data Officer (Synthetic),Facility Reference Data Steward (Synthetic),Invalid encounter Facility_ID values were injected to simulate referential drift.,Open,Assign unmatched encounter facilities to FAC-UNK.,70,before,Portfolio simulation — not a production ticketing system
ISS-009,DQ-009,Encounter_Date,Encounter Date Validity: 35 of 2500 records failed on encounters.Encounter_Date.,Medium,Chief Data Officer (Synthetic),Clinical Data Steward (Synthetic),Future and malformed encounter dates were injected to simulate calendar and format errors.,Open,Parse valid dates; clear future or unparseable dates.,35,before,Portfolio simulation — not a production ticketing system
ISS-001,DQ-001,Patient_ID,Patient ID Completeness: 0 of 1001 records failed on patients.Patient_ID.,High,Chief Data Officer (Synthetic),Patient Master Data Steward (Synthetic),Missing identifiers were injected in the synthetic generator to simulate incomplete source extracts.,Resolved,Assign a new synthetic Patient_ID; retain the row; log the assignment.,0,after,Portfolio simulation — not a production ticketing system
ISS-002,DQ-002,Patient_ID,Patient ID Uniqueness: 0 of 1001 records failed on patients.Patient_ID.,High,Chief Data Officer (Synthetic),Patient Master Data Steward (Synthetic),"Duplicate Patient_ID values were injected, including exact duplicate rows and conflicting identities sharing an ID.",Resolved,Remove exact duplicate rows; split conflicting identities onto new IDs.,0,after,Portfolio simulation — not a production ticketing system
ISS-003,DQ-003,Date_of_Birth,Date of Birth Validity: 0 of 880 records failed on patients.Date_of_Birth.,High,Chief Data Officer (Synthetic),Patient Master Data Steward (Synthetic),"Future, malformed, missing, and out-of-range dates were injected to simulate mixed source formats.",Resolved,Parse mixed formats to ISO-8601; clear dates that cannot be validated.,0,after,Portfolio simulation — not a production ticketing system
ISS-004,DQ-004,Gender,Gender Conformity: 0 of 1001 records failed on patients.Gender.,Medium,Chief Data Officer (Synthetic),Patient Master Data Steward (Synthetic),Synonyms and invalid codes (M/F/X/Other) were injected instead of the approved value set.,Resolved,Map synonyms onto Female/Male/Unknown; default unmatched values to Unknown.,0,after,Portfolio simulation — not a production ticketing system
ISS-005,DQ-005,Facility_ID,Facility Referential Integrity: 0 of 1001 records failed on patients.Facility_ID.,High,Chief Data Officer (Synthetic),Facility Reference Data Steward (Synthetic),Missing and non-existent Facility_ID values were injected to simulate broken reference data.,Resolved,Standardise Facility_ID; assign unmatched values to FAC-UNK.,0,after,Portfolio simulation — not a production ticketing system
ISS-006,DQ-006,Patient_ID,Encounter Patient Referential Integrity: 0 of 2500 records failed on encounters.Patient_ID.,High,Chief Data Officer (Synthetic),Clinical Data Steward (Synthetic),Orphan encounter Patient_ID values and blank keys were injected to simulate incomplete interface loads.,Resolved,Link orphan encounters to PAT-UNK; do not delete the encounter.,0,after,Portfolio simulation — not a production ticketing system
ISS-007,DQ-007,Provider_ID,Encounter Provider Referential Integrity: 0 of 2500 records failed on encounters.Provider_ID.,High,Chief Data Officer (Synthetic),Provider Master Data Steward (Synthetic),Orphan encounter Provider_ID values were injected to simulate unmatched provider master keys.,Resolved,Assign unmatched providers to PRV-UNK.,0,after,Portfolio simulation — not a production ticketing system
ISS-008,DQ-008,Facility_ID,Encounter Facility Referential Integrity: 0 of 2500 records failed on encounters.Facility_ID.,High,Chief Data Officer (Synthetic),Facility Reference Data Steward (Synthetic),Invalid encounter Facility_ID values were injected to simulate referential drift.,Resolved,Assign unmatched encounter facilities to FAC-UNK.,0,after,Portfolio simulation — not a production ticketing system
ISS-009,DQ-009,Encounter_Date,Encounter Date Validity: 0 of 2465 records failed on encounters.Encounter_Date.,Medium,Chief Data Officer (Synthetic),Clinical Data Steward (Synthetic),Future and malformed encounter dates were injected to simulate calendar and format errors.,Resolved,Parse valid dates; clear future or unparseable dates.,0,after,Portfolio simulation — not a production ticketing system
